date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:44	31507/31507	---M-Z	200	added ('OK')	text/html	etag:%2220145-7b13-5fa63eb6c4180%22	https://www.ese.iitb.ac.in/~energyday/	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/index.html	(from )
00:00:44	632/632	---M-Z	200	added ('OK')	text/plain	etag:%22141946-5e6-5a84af53cc4c0%22	https://www.ese.iitb.ac.in/robots.txt		(from )
00:00:46	7613/7613	---M-Z	200	added ('OK')	text/css	etag:%222013b-1dbd-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/web/assets/mobirise-icons/mobirise-icons.css	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/web/assets/mobirise-icons/mobirise-icons.css	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:46	160403/160403	---M-Z	200	added ('OK')	text/css	etag:%222000e-27293-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/bootstrap/css/bootstrap.min.css	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/bootstrap/css/bootstrap.min.css	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:46	50995/50995	---M-Z	200	added ('OK')	text/css	etag:%222000c-c733-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/bootstrap/css/bootstrap-grid.min.css	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/bootstrap/css/bootstrap-grid.min.css	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:46	1476015/1476015	---MCZ	200	added ('OK')	image/png	etag:%222003b-1685af-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/ed-final-logo-.png	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/ed-final-logo-.png	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:47	3879/3879	---M-Z	200	added ('OK')	text/css	etag:%222000d-f27-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/bootstrap/css/bootstrap-reboot.min.css	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/bootstrap/css/bootstrap-reboot.min.css	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:47	237/237	---M-Z	200	added ('OK')	text/css	etag:%2220091-ed-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/tether/tether.min.css	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/tether/tether.min.css	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:47	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%2220009-ce35-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/animatecss/animate.min.css	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/animatecss/animate.min.css	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:47	7982/7982	---M-Z	200	added ('OK')	text/css	etag:%2220015-1f2e-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/dropdown/css/style.css	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/dropdown/css/style.css	(from https://www.ese.iitb.ac.in/~energyday/)
